"Index","Date","Open","High","Low","Close","Adj Close","Volume","CloseUSD"
"HSI","1987-03-24",2828.100098,2828.100098,2828.100098,2828.100098,2828.100098,0,367.65301274
"HSI","1987-03-25",2831.5,2831.5,2831.5,2831.5,2831.5,0,368.095
"HSI","1987-03-26",2783.100098,2783.100098,2783.100098,2783.100098,2783.100098,0,361.80301274
"HSI","1987-03-27",2798.699951,2798.699951,2798.699951,2798.699951,2798.699951,0,363.83099363
"HSI","1987-03-30",2774.899902,2774.899902,2774.899902,2774.899902,2774.899902,0,360.73698726
"HSI","1987-03-31",2713.800049,2713.800049,2713.800049,2713.800049,2713.800049,0,352.79400637
"HSI","1987-04-01",2695.899902,2695.899902,2695.899902,2695.899902,2695.899902,0,350.46698726
"HSI","1987-04-02",2709.399902,2709.399902,2709.399902,2709.399902,2709.399902,0,352.22198726
"HSI","1987-04-03",2680,2680,2680,2680,2680,0,348.4
"HSI","1987-04-07",2664.699951,2664.699951,2664.699951,2664.699951,2664.699951,0,346.41099363
"HSI","1987-04-08",2729.600098,2729.600098,2729.600098,2729.600098,2729.600098,0,354.84801274
"HSI","1987-04-09",2785.5,2785.5,2785.5,2785.5,2785.5,0,362.115
"HSI","1987-04-10",2766.399902,2766.399902,2766.399902,2766.399902,2766.399902,0,359.63198726
"HSI","1987-04-13",2708.899902,2708.899902,2708.899902,2708.899902,2708.899902,0,352.15698726
"HSI","1987-04-14",2668.399902,2668.399902,2668.399902,2668.399902,2668.399902,0,346.89198726
"HSI","1987-04-15",2693.600098,2693.600098,2693.600098,2693.600098,2693.600098,0,350.16801274
"HSI","1987-04-16",2721.100098,2721.100098,2721.100098,2721.100098,2721.100098,0,353.74301274
"HSI","1987-04-21",2713.399902,2713.399902,2713.399902,2713.399902,2713.399902,0,352.74198726
"HSI","1987-04-22",2716.899902,2716.899902,2716.899902,2716.899902,2716.899902,0,353.19698726
"HSI","1987-04-23",2719.899902,2719.899902,2719.899902,2719.899902,2719.899902,0,353.58698726
"HSI","1987-04-24",2707.600098,2707.600098,2707.600098,2707.600098,2707.600098,0,351.98801274
"HSI","1987-04-27",2636.5,2636.5,2636.5,2636.5,2636.5,0,342.745
"HSI","1987-04-28",2617.100098,2617.100098,2617.100098,2617.100098,2617.100098,0,340.22301274
"HSI","1987-04-29",2589.5,2589.5,2589.5,2589.5,2589.5,0,336.635
"HSI","1987-04-30",2659.899902,2659.899902,2659.899902,2659.899902,2659.899902,0,345.78698726
"HSI","1987-05-01",2685.399902,2685.399902,2685.399902,2685.399902,2685.399902,0,349.10198726
"HSI","1987-05-04",2695.800049,2695.800049,2695.800049,2695.800049,2695.800049,0,350.45400637
"HSI","1987-05-05",2713.800049,2713.800049,2713.800049,2713.800049,2713.800049,0,352.79400637
"HSI","1987-05-06",2792.899902,2792.899902,2792.899902,2792.899902,2792.899902,0,363.07698726
"HSI","1987-05-07",2785.600098,2785.600098,2785.600098,2785.600098,2785.600098,0,362.12801274
"HSI","1987-05-08",2805.100098,2805.100098,2805.100098,2805.100098,2805.100098,0,364.66301274
"HSI","1987-05-11",2846.899902,2846.899902,2846.899902,2846.899902,2846.899902,0,370.09698726
"HSI","1987-05-12",2853.399902,2853.399902,2853.399902,2853.399902,2853.399902,0,370.94198726
"HSI","1987-05-13",2833.5,2833.5,2833.5,2833.5,2833.5,0,368.355
"HSI","1987-05-14",2853.899902,2853.899902,2853.899902,2853.899902,2853.899902,0,371.00698726
"HSI","1987-05-15",2872.199951,2872.199951,2872.199951,2872.199951,2872.199951,0,373.38599363
"HSI","1987-05-18",2875.399902,2875.399902,2875.399902,2875.399902,2875.399902,0,373.80198726
"HSI","1987-05-19",2881.5,2881.5,2881.5,2881.5,2881.5,0,374.595
"HSI","1987-05-20",2887.300049,2887.300049,2887.300049,2887.300049,2887.300049,0,375.34900637
"HSI","1987-05-21",2871,2871,2871,2871,2871,0,373.23
"HSI","1987-05-22",2897.600098,2897.600098,2897.600098,2897.600098,2897.600098,0,376.68801274
"HSI","1987-05-25",2897.600098,2897.600098,2897.600098,2897.600098,2897.600098,0,376.68801274
"HSI","1987-05-26",2935.899902,2935.899902,2935.899902,2935.899902,2935.899902,0,381.66698726
"HSI","1987-05-27",2941.600098,2941.600098,2941.600098,2941.600098,2941.600098,0,382.40801274
