"set_num","set_name","year","num_parts","color_name","rgb","color_rank"
"75059-1","Sandcrawler",2014,3294,"Reddish Brown","582A12",1
"75072-1","ARC-170 Starfighter",2015,95,"White","FFFFFF",1
"75073-1","Vulture Droid",2015,77,"Dark Bluish Gray","6C6E68",1
"75074-1","Snowspeeder",2015,97,"Light Bluish Gray","A0A5A9",1
"75075-1","AT-AT",2015,88,"Light Bluish Gray","A0A5A9",1
"75076-1","Republic Gunship",2015,105,"White","FFFFFF",1
"75077-1","Homing Spider Droid",2015,102,"Light Bluish Gray","A0A5A9",1
"75078-1","Imperial Troop Transport",2015,141,"Light Bluish Gray","A0A5A9",1
"75079-1","Shadow Troopers",2015,95,"Black","05131D",1
"75080-1","AAT",2015,251,"Tan","E4CD9E",1
"75081-1","T-16 Skyhopper",2015,246,"Light Bluish Gray","A0A5A9",1
"75082-1","TIE Advanced Prototype",2015,354,"Light Bluish Gray","A0A5A9",1
"75083-1","AT-DP",2015,498,"Light Bluish Gray","A0A5A9",1
"75084-1","Wookiee Gunship",2015,568,"Tan","E4CD9E",1
"75085-1","Hailfire Droid",2015,163,"Dark Bluish Gray","6C6E68",1
"75086-1","Battle Droid Troop Carrier",2015,565,"Light Bluish Gray","A0A5A9",1
"75087-1","Anakin's Custom Jedi Starfighter",2015,369,"Light Bluish Gray","A0A5A9",1
"75088-1","Senate Commando Troopers",2015,106,"Trans-Dark Blue","0020A0",1
"75089-1","Geonosis Troopers",2015,105,"Dark Bluish Gray","6C6E68",1
"75090-1","Ezra's Speeder Bike",2015,267,"Dark Bluish Gray","6C6E68",1
"75090-2","Ezra's Speeder Bike",2015,253,"Dark Bluish Gray","6C6E68",1
"75091-1","Flash Speeder",2015,311,"Green","237841",1
"75092-1","Naboo Starfighter",2015,440,"Light Bluish Gray","A0A5A9",1
"75093-1","Death Star Final Duel",2015,722,"Light Bluish Gray","A0A5A9",1
"75096-1","Sith Infiltrator",2015,659,"Dark Bluish Gray","6C6E68",1
"75106-1","Imperial Assault Carrier",2015,1214,"Light Bluish Gray","A0A5A9",1
"75113-1","Rey",2016,84,"Black","05131D",1
"75114-1","First Order Stormtrooper",2016,81,"White","FFFFFF",1
"75115-1","Poe Dameron",2016,101,"Black","05131D",1
"75116-1","Finn",2016,98,"Black","05131D",1
"75117-1","Kylo Ren",2016,86,"Black","05131D",1
"75118-1","Captain Phasma",2016,82,"Black","05131D",1
"75119-1","Sergeant Jyn Erso",2016,104,"Black","05131D",1
"75120-1","K-2SO",2016,169,"Black","05131D",1
"75121-1","Imperial Death Trooper",2016,105,"Black","05131D",1
"75125-1","Resistance X-Wing Fighter",2016,87,"Light Bluish Gray","A0A5A9",1
"75126-1","First Order Snowspeeder",2016,91,"Light Bluish Gray","A0A5A9",1
"75127-1","The Ghost",2016,104,"Black","05131D",1
"75128-1","TIE Advanced Prototype",2016,93,"Light Bluish Gray","A0A5A9",1
"75129-1","Wookiee Gunship",2016,84,"Tan","E4CD9E",1
"75130-1","AT-DP",2016,76,"Light Bluish Gray","A0A5A9",1
"75131-1","Resistance Trooper Battle Pack",2016,112,"Dark Bluish Gray","6C6E68",1
"75132-1","First Order Battle Pack",2016,88,"Black","05131D",1
"75135-1","Obi-Wan's Jedi Interceptor",2016,212,"Light Bluish Gray","A0A5A9",1
"75136-1","Droid Escape Pod",2016,196,"Light Bluish Gray","A0A5A9",1
"75137-1","Carbon-Freezing Chamber",2016,231,"Light Bluish Gray","A0A5A9",1
"75138-1","Hoth Attack",2016,230,"White","FFFFFF",1
"75139-1","Battle on Takodana",2016,403,"Dark Bluish Gray","6C6E68",1
"75140-1","Resistance Troop Transporter",2016,644,"Light Bluish Gray","A0A5A9",1
"75141-1","Kanan's Speeder Bike",2016,226,"Light Bluish Gray","A0A5A9",1
"75142-1","Homing Spider Droid",2016,309,"Dark Bluish Gray","6C6E68",1
"75145-1","Eclipse Fighter",2016,363,"Black","05131D",1
"75147-1","StarScavenger",2016,557,"Dark Bluish Gray","6C6E68",1
"75148-1","Encounter on Jakku",2016,529,"Tan","E4CD9E",1
"75149-1","Resistance X-Wing Fighter",2016,738,"Light Bluish Gray","A0A5A9",1
"75150-1","Vader’s TIE Advanced vs. A-Wing Starfighter",2016,700,"Light Bluish Gray","A0A5A9",1
"75151-1","Clone Turbo Tank",2016,902,"Dark Bluish Gray","6C6E68",1
"75152-1","Imperial Assault Hovertank",2016,385,"Light Bluish Gray","A0A5A9",1
"75153-1","AT-ST Walker",2016,448,"Light Bluish Gray","A0A5A9",1
"75154-1","TIE Striker",2016,541,"Light Bluish Gray","A0A5A9",1
"75155-1","Rebel U-Wing Fighter",2016,657,"Dark Bluish Gray","6C6E68",1
"75156-1","Krennic’s Imperial Shuttle",2016,861,"Black","05131D",1
"75157-1","Captain Rex’s AT-TE",2016,969,"Dark Bluish Gray","6C6E68",1
"75158-1","Rebel Combat Frigate",2016,934,"Light Bluish Gray","A0A5A9",1
"75160-1","U-wing",2017,108,"Light Bluish Gray","A0A5A9",1
"75161-1","Tie Striker Microfighter",2017,87,"Light Bluish Gray","A0A5A9",1
"75163-1","Krennics Imperial Shuttle Microfighter",2017,77,"Black","05131D",1
"75164-1","Rebel Trooper Battle Pack",2017,119,"Black","05131D",1
"75165-1","Imperial Trooper Battle Pack",2017,112,"Light Bluish Gray","A0A5A9",1
"75166-1","First Order Transport Speeder Battle Pack",2017,115,"Light Bluish Gray","A0A5A9",1
"75168-1","Yoda's Jedi Starfighter",2017,262,"Light Bluish Gray","A0A5A9",1
"75169-1","Duel on Naboo",2017,207,"Black","05131D",1
"75170-1","The Phantom",2017,267,"White","FFFFFF",1
"75171-1","Battle on Scarif",2017,419,"Dark Bluish Gray","6C6E68",1
"75172-1","Y-Wing Starfighter",2017,688,"Light Bluish Gray","A0A5A9",1
"75173-1","Luke's Landspeeder",2017,148,"Dark Red","720E0F",1
"75180-1","Rathtar\" Escape",2017,836,"Dark Bluish Gray","6C6E68",1
"75182-1","Republic Fighter Tank",2017,302,"White","FFFFFF",1
"75183-1","Darth Vader\" Transformation",2017,290,"Black","05131D",1
"75191-1","Jedi Starfighter\" With Hyperdrive",2017,831,"White","FFFFFF",1
"75532-1","Scout Trooper\" & Speeder Bike",2017,447,"Black","05131D",1
"7654-1","Droids Battle Pack",2007,102,"Black","05131D",1
"7655-1","Clone Troopers Battle Pack",2007,58,"White","FFFFFF",1
"7656-1","General Grievous Starfighter",2007,232,"Black","05131D",1
"7657-1","AT-ST",2007,243,"Light Bluish Gray","A0A5A9",1
"7658-1","Y-wing Fighter",2007,454,"White","FFFFFF",1
"7659-1","Imperial Landing Craft",2007,471,"White","FFFFFF",1
"7660-1","Naboo N-1 Starfighter and Vulture Droid",2007,279,"Light Bluish Gray","A0A5A9",1
"7661-1","Jedi Starfighter with Hyperdrive Booster Ring",2007,574,"Light Bluish Gray","A0A5A9",1
"7662-1","Trade Federation MTT",2007,1326,"Reddish Brown","582A12",1
"7663-1","Sith Infiltrator",2007,310,"Black","05131D",1
"7664-1","TIE Crawler",2007,546,"Black","05131D",1
"7665-1","Republic Cruiser (Limited Edition - with R2-R7)",2007,920,"Red","C91A09",1
"7666-1","Hoth Rebel Base [Limited Edition - with K-3PO]",2007,557,"White","FFFFFF",1
"7667-1","Imperial Dropship",2008,80,"Black","05131D",1
"7668-1","Rebel Scout Speeder",2008,81,"Dark Bluish Gray","6C6E68",1
"7669-1","Anakin's Jedi Starfighter",2008,152,"Light Bluish Gray","A0A5A9",1
"7669-2","Anakin's Jedi Starfighter Clone Wars White Box",2008,144,"Light Bluish Gray","A0A5A9",1
"7670-1","Hailfire Droid & Spider Droid",2008,249,"Reddish Brown","582A12",1
"7670-2","Hailfire Droid & Spider Droid Clone Wars White Box",2008,249,"Reddish Brown","582A12",1
"7671-1","AT-AP Walker",2008,392,"Light Bluish Gray","A0A5A9",1
"7672-1","Rogue Shadow",2008,481,"Black","05131D",1
"7673-1","Magna Guard Starfighter",2008,430,"Dark Bluish Gray","6C6E68",1
"7674-1","V-19 Torrent",2008,470,"White","FFFFFF",1
